unique_id,Date,PV_capacity_China_GW,solar_prod_GW,Renewable_energy_capacity_China_%,power_generation_GWh,patent,Global_PV_Price_2023USD/W,multi_si_ef_%,Renewable_energy_generation_China_%,LCOE_China_2023USD/kWh
H1,2010/1/1,0.465383333,0.183,24.18,269590,155,2.388455,20.61587302,18.54,0.3397
H1,2010/2/1,0.515966667,0.25,24.26416667,269590,144,2.352700458,20.61904762,18.37916667,0.336133333
H1,2010/3/1,0.56655,0.329,24.34833333,336950,216,2.316945917,20.62222222,18.21833333,0.332566667
H1,2010/4/1,0.617133333,0.331,24.4325,331640,223,2.281191375,20.62539683,18.0575,0.329
H1,2010/5/1,0.667716667,0.36,24.51666667,340470,226,2.245436833,20.62857143,17.89666667,0.325433333
H1,2010/6/1,0.7183,0.438,24.60083333,346660,204,2.209682292,20.63174603,17.73583333,0.321866667
H1,2010/7/1,0.768883333,0.408,24.685,377640,296,2.17392775,20.63492063,17.575,0.3183
H1,2010/8/1,0.819466667,0.491,24.76916667,390330,254,2.138173208,20.63809524,17.41416667,0.314733333
H1,2010/9/1,0.87005,0.862,24.85333333,348650,317,2.102418667,20.64126984,17.25333333,0.311166667
H1,2010/10/1,0.920633333,0.61,24.9375,332880,231,2.066664125,20.64444444,17.0925,0.3076
H1,2010/11/1,0.971216667,0.63,25.02166667,345340,329,2.030909583,20.64761905,16.93166667,0.304033333
H1,2010/12/1,1.0218,0.714,25.10583333,367780,470,1.995155042,20.65079365,16.77083333,0.300466667
H1,2011/1/1,1.195633333,0.62,25.19,324379.3408,264,1.9594005,20.65396825,16.61,0.2969
H1,2011/2/1,1.369466667,0.585,25.28,310080,175,1.884111017,20.65714286,16.8875,0.2903
H1,2011/3/1,1.5433,0.765,25.37,383010,396,1.808821533,20.66031746,17.165,0.2837
H1,2011/4/1,1.717133333,0.778,25.46,366380,310,1.73353205,20.66349206,17.4425,0.2771
H1,2011/5/1,1.890966667,0.776,25.55,377540,422,1.658242567,20.66666667,17.72,0.2705
H1,2011/6/1,2.0648,1.039,25.64,396820,444,1.582953083,20.66984127,17.9975,0.2639
H1,2011/7/1,2.238633333,0.97,25.73,425150,348,1.5076636,20.67301587,18.275,0.2573
H1,2011/8/1,2.412466667,1.479,25.82,426040,403,1.432374117,20.67619048,18.5525,0.2507
H1,2011/9/1,2.5863,1.563,25.91,386060,505,1.357084633,20.67936508,18.83,0.2441
H1,2011/10/1,2.760133333,1.031,26,364040,343,1.28179515,20.68253968,19.1075,0.2375
H1,2011/11/1,2.933966667,1.327,26.09,371300,515,1.206505667,20.68571429,19.385,0.2309
H1,2011/12/1,3.1078,1.329,26.18,403810,668,1.131216183,20.68888889,19.6625,0.2243
H1,2012/1/1,3.408633333,1.201,26.27,381351.6002,328,1.0559267,20.69206349,19.94,0.2177
H1,2012/2/1,3.709466667,1.595,26.45916667,370170,320,1.035762681,20.6952381,19.94416667,0.213783333
H1,2012/3/1,4.0103,1.566,26.64833333,410920,531,1.015598662,20.6984127,19.94833333,0.209866667
H1,2012/4/1,4.311133333,1.682,26.8375,371820,502,0.995434643,20.7015873,19.9525,0.20595
H1,2012/5/1,4.611966667,1.744,27.02666667,389810,620,0.975270623,20.7047619,19.95666667,0.202033333
H1,2012/6/1,4.9128,1.598,27.21583333,393350,558,0.955106604,20.70793651,19.96083333,0.198116667
H1,2012/7/1,5.213633333,1.265,27.405,435120,518,0.934942585,20.71111111,19.965,0.1942
H1,2012/8/1,5.514466667,1.211,27.59416667,437280,541,0.914778566,20.71428571,19.96916667,0.190283333
H1,2012/9/1,5.8153,1.517,27.78333333,390730,588,0.894614547,20.71746032,19.97333333,0.186366667
H1,2012/10/1,6.116133333,1.778,27.9725,389770,525,0.874450528,20.72063492,19.9775,0.18245
H1,2012/11/1,6.416966667,1.921,28.16166667,401050,751,0.854286508,20.72380952,19.98166667,0.178533333
H1,2012/12/1,6.7178,2.543,28.35083333,432720,819,0.834122489,20.72698413,19.98583333,0.174616667
H1,2013/1/1,7.636966667,2.565807692,28.54,447993.5739,466,0.81395847,20.73015873,19.99,0.1707
H1,2013/2/1,8.556133333,2.588615385,28.68666667,441116.1864,286,0.808647651,20.73333333,20.19666667,0.167091667
H1,2013/3/1,9.4753,2.611423077,28.83333333,419430,503,0.803336832,20.73650794,20.40333333,0.163483333
H1,2013/4/1,10.39446667,2.634230769,28.98,399440,669,0.798026013,20.73968254,20.61,0.159875
H1,2013/5/1,11.31363333,2.657038462,29.12666667,410410,521,0.792715193,20.74285714,20.81666667,0.156266667
H1,2013/6/1,12.2328,2.679846154,29.27333333,425260,499,0.787404374,20.74603175,21.02333333,0.152658333
