unique_id,Date,PV_capacity_China_GW
H1,2023/1/1,402.7509
H1,2023/2/1,413.04
H1,2023/3/1,425.89
H1,2023/4/1,440.5
H1,2023/5/1,453.92
H1,2023/6/1,470.67
H1,2023/7/1,490.81
H1,2023/8/1,505.41
H1,2023/9/1,521.08
H1,2023/10/1,535.76
H1,2023/11/1,557.62
H1,2023/12/1,609.3508
H1,2024/1/1,628.6154
H1,2024/2/1,647.88
H1,2024/3/1,660.05
H1,2024/4/1,671.47
H1,2024/5/1,690.98
H1,2024/6/1,713.5
H1,2024/7/1,735.57
H1,2024/8/1,752.35
H1,2024/9/1,772.92
H1,2024/10/1,793.11
H1,2024/11/1,818.33
H1,2024/12/1,844.3508
