Date,TimeGPT
1999,0
2000,0.03352
2001,0.03802
2002,0.05653
2003,0.0666
2004,0.0766
2005,0.1412
2006,0.1602
2007,0.199
2008,0.253
2009,0.4148
2010,1.0218
2011,3.1078
2012,6.7178
2013,17.7478
2014,28.3878
2015,43.5378
2016,77.7878
2017,130.80129
2018,175.01586
2019,204.5748
2020,253.4138
2021,306.4028
2022,392.4618
2023,532.0392
2024,599.6886
2025,741.01013
2026,822.73346
2027,980.0504
2028,1072.8453
2029,1245.2278
2030,1346.6416
2031,1530.5822
2032,1638.188
2033,1830.1353
2034,1941.3148
2035,2138.754
2036,2250.8135
2037,2450.4502
2038,2560.5356
2039,2758.4854
2040,2863.9463
2041,3056.9316
2042,3155.962
2043,3344.514
2044,3436.9524
2045,3627.7573
2046,3716.001
2047,3914.0752
2048,4000.3203
2049,4214.3735
2050,4302.2993
